2023 Lower Weather Meterological Hourly Data (Summary),,
,,
Reference Dataset with the following format:,,
,"[Year of data collection] Meteorological data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",
, URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].,
,,
,,
,Column.Variable-units| Description,
,1. DateTime| Time stamp of variable collection time [MM/DD/YY  hr:mm],
,2. Precipitation-mm| Cumulative Shielded Rain gage Depth [mm],
,"3. AirTemperature-C| Air Temperature at 2m above ground, Averaged [C]",
,"4. SolarRadiation-Watts/m2| Solar Radiation, Averaged [Watts/m2]",
,"5. Net Radiation-Watts/m2| Net Radiation, Averaged [Watts/m2]",
,"6. Relative Humidity-%| Relative Humidity at 2m above ground , Averaged [%]",
,7. Wind Direction-Degree| Mean Resultant Wind Direction at 2m above ground [Degree],
,"8. Wind Speed-m/s| Wind Speed at 2m above ground, Averaged [m/s]",
,"9.Snow Depth-cm| Filtered depth of snow above ground, Acoustic Sensor [cm]",
,Note: -6999 denotes missing data,
,,
DateTime,Precipitation-mm,AirTemperature-C
1/1/2023 0:00,212.3,-2.872
1/1/2023 0:15,212.4,-2.75
1/1/2023 0:30,212.4,-2.81
1/1/2023 0:45,212.4,-2.851
1/1/2023 1:00,212.4,-2.851
1/1/2023 1:15,212.3,-3.257
1/1/2023 1:30,212.4,-3.398
1/1/2023 1:45,212.4,-3.358
1/1/2023 2:00,212.4,-3.327
1/1/2023 2:15,212.4,-3.48
1/1/2023 2:30,212.4,-3.824
1/1/2023 2:45,212.4,-3.986
1/1/2023 3:00,212.4,-4.068
1/1/2023 3:15,212.4,-4.189
1/1/2023 3:30,212.4,-3.804
1/1/2023 3:45,212.4,-4.148
1/1/2023 4:00,212.4,-4.23
1/1/2023 4:15,212.3,-4.26
1/1/2023 4:30,212.4,-4.838
1/1/2023 4:45,212.4,-4.928
1/1/2023 5:00,212.4,-4.838
1/1/2023 5:15,212.4,-4.077
1/1/2023 5:30,212.5,-4.25
1/1/2023 5:45,212.5,-4.128
1/1/2023 6:00,212.4,-3.784
1/1/2023 6:15,212.5,-3.723
1/1/2023 6:30,212.4,-3.752
1/1/2023 6:45,212.4,-3.662
1/1/2023 7:00,212.5,-3.652
1/1/2023 7:15,212.4,-3.936
1/1/2023 7:30,212.4,-4.442
1/1/2023 7:45,212.4,-4.513
1/1/2023 8:00,212.4,-4.756
1/1/2023 8:15,212.3,-5.02
1/1/2023 8:30,212.4,-5.526
1/1/2023 8:45,212.4,-5.385
1/1/2023 9:00,212.5,-4.756
1/1/2023 9:15,212.5,-4.452
1/1/2023 9:30,212.5,-4.838
1/1/2023 9:45,212.5,-4.038
1/1/2023 10:00,212.5,-3.824
1/1/2023 10:15,212.5,-3.854
1/1/2023 10:30,212.4,-3.48
1/1/2023 10:45,212.4,-3.784
1/1/2023 11:00,212.4,-3.652
1/1/2023 11:15,212.5,-3.155
1/1/2023 11:30,212.5,-3.439
1/1/2023 11:45,212.4,-2.892
1/1/2023 12:00,212.4,-2.932
1/1/2023 12:15,212.5,-2.669
1/1/2023 12:30,212.4,-2.405
1/1/2023 12:45,212.4,-2.528
1/1/2023 13:00,212.3,-2.325
1/1/2023 13:15,212.4,-2.366
1/1/2023 13:30,212.3,-2.122
1/1/2023 13:45,212.3,-2.325
1/1/2023 14:00,212.3,-2.162
1/1/2023 14:15,212.3,-1.596
1/1/2023 14:30,212.4,-1.434
1/1/2023 14:45,212.4,-1.272
1/1/2023 15:00,212.4,-0.725
1/1/2023 15:15,212.4,-0.866
1/1/2023 15:30,212.4,-0.482
1/1/2023 15:45,212.4,-0.522
1/1/2023 16:00,212.4,-0.26
1/1/2023 16:15,212.5,-0.016
1/1/2023 16:30,212.3,-0.401
1/1/2023 16:45,212.4,-0.34
1/1/2023 17:00,212.3,-0.725
1/1/2023 17:15,212.4,-0.36
1/1/2023 17:30,212.3,0.126
1/1/2023 17:45,212.3,0.448
1/1/2023 18:00,212.3,0.346
1/1/2023 18:15,212.3,0.226
1/1/2023 18:30,212.3,0.337
1/1/2023 18:45,212.3,-0.32
1/1/2023 19:00,212.3,-1.292
1/1/2023 19:15,212.3,-0.725
1/1/2023 19:30,212.3,-0.846
1/1/2023 19:45,212.3,-1.585
1/1/2023 20:00,212.3,-1.636
1/1/2023 20:15,212.3,-2.061
1/1/2023 20:30,212.4,-1.889
1/1/2023 20:45,212.3,-2.548
1/1/2023 21:00,212.3,-2.162
1/1/2023 21:15,212.3,-3.358
1/1/2023 21:30,212.3,-3.864
1/1/2023 21:45,212.3,-3.632
1/1/2023 22:00,212.4,-2.71
1/1/2023 22:15,212.4,-2.122
1/1/2023 22:30,212.4,-2.031
1/1/2023 22:45,212.4,-2.304
1/1/2023 23:00,212.4,-2.325
1/1/2023 23:15,212.3,-2.345
1/1/2023 23:30,212.3,-2.771
1/1/2023 23:45,212.2,-3.642
1/2/2023 0:00,212.3,-4.452
1/2/2023 0:15,212.3,-5.385
1/2/2023 0:30,212.3,-4.513
1/2/2023 0:45,212.4,-5.142
1/2/2023 1:00,212.3,-4.96
1/2/2023 1:15,212.3,-5.548
1/2/2023 1:30,212.3,-5.365
1/2/2023 1:45,212.4,-4.798
1/2/2023 2:00,212.3,-4.584
1/2/2023 2:15,212.3,-5.061
1/2/2023 2:30,212.4,-4.766
1/2/2023 2:45,212.4,-4.473
1/2/2023 3:00,212.4,-5.244
1/2/2023 3:15,212.4,-4.716
1/2/2023 3:30,212.4,-5.832
1/2/2023 3:45,212.4,-5.608
1/2/2023 4:00,212.4,-5.67
1/2/2023 4:15,212.3,-5.689
1/2/2023 4:30,212.4,-5.061
1/2/2023 4:45,212.4,-5.406
1/2/2023 5:00,212.4,-5.578
1/2/2023 5:15,212.4,-5.65
1/2/2023 5:30,212.4,-5.446
1/2/2023 5:45,212.4,-6.136
1/2/2023 6:00,212.4,-5.852
1/2/2023 6:15,212.3,-6.906
1/2/2023 6:30,212.4,-7.607
1/2/2023 6:45,212.4,-7.658
1/2/2023 7:00,212.4,-7.14
1/2/2023 7:15,212.4,-7.252
1/2/2023 7:30,212.3,-7.232
1/2/2023 7:45,212.4,-6.521
1/2/2023 8:00,212.4,-6.115
1/2/2023 8:15,212.4,-5.578
1/2/2023 8:30,212.4,-6.806
1/2/2023 8:45,212.4,-6.541
1/2/2023 9:00,212.4,-6.906
1/2/2023 9:15,212.4,-6.502
1/2/2023 9:30,212.4,-6.206
1/2/2023 9:45,212.5,-5.608
1/2/2023 10:00,212.5,-5.061
1/2/2023 10:15,212.5,-4.818
1/2/2023 10:30,212.5,-4.148
1/2/2023 10:45,212.5,-3.52
1/2/2023 11:00,212.5,-1.616
1/2/2023 11:15,212.4,-1.849
